deltaTime(s);Time(s);Roll(rad);Pitch(rad);Yaw(rad);RollSpeed(rad/s);PitchSpeed(rad/s);YawSpeed(rad/s) 
0.24478602;30.31879663;-0.00114333;-0.01582496;-1.48454428;-0.00004291;-0.00075518;0.00070219 
0.26055264;30.57934928;-0.00111762;-0.01592328;-1.48451447;-0.00086098;0.00023892;-0.00068300 
0.23972750;30.81907678;-0.00112946;-0.01582336;-1.48440683;-0.00023913;-0.00022416;-0.00069372 
0.26519656;31.08427334;-0.00107543;-0.01582977;-1.48438585;-0.00047492;0.00050723;0.00155458 
0.24298429;31.32725763;-0.00115905;-0.01580976;-1.48432708;-0.00125982;-0.00022093;0.00025653 
0.24387765;31.57113528;-0.00119957;-0.01586644;-1.48424888;-0.00091723;-0.00022112;0.00144276 
0.24791741;31.81905270;-0.00115751;-0.01587796;-1.48428595;-0.00023929;-0.00042454;-0.00011416 
0.27261066;32.09166336;-0.00120888;-0.01585600;-1.48425817;-0.00039271;0.00052153;0.00176150 
0.22741365;32.31907701;-0.00128456;-0.01583028;-1.48425066;-0.00012742;-0.00099087;0.00197179 
0.24987912;32.56895614;-0.00146804;-0.01570071;-1.48419392;0.00020476;0.00105331;0.00021729 
0.24997544;32.81893158;-0.00155436;-0.01579376;-1.48414898;-0.00021660;-0.00052423;0.00187525 
0.25001550;33.06894708;-0.00165210;-0.01572987;-1.48416066;0.00072403;-0.00111652;-0.00048205 
0.25311041;33.32205749;-0.00179358;-0.01558950;-1.48407495;0.00082255;-0.00028392;0.00170480 
0.24704146;33.56909895;-0.00181542;-0.01548352;-1.48412883;-0.00121026;-0.00039332;-0.00065675 
0.25477719;33.82387614;-0.00179620;-0.01553202;-1.48406112;0.00007554;-0.00011466;0.00131073 
0.25017858;34.07405472;-0.00174318;-0.01567055;-1.48403597;0.00002233;-0.00044772;0.00039863 
0.24312425;34.31717896;-0.00177653;-0.01565746;-1.48397672;-0.00071699;0.00015275;0.00059498 
0.27728868;34.59446764;-0.00184993;-0.01557825;-1.48401260;-0.00035045;0.00056180;0.00017702 
0.22245479;34.81692243;-0.00179990;-0.01550399;-1.48394716;-0.00065307;0.00077040;0.00198176 
0.25326085;35.07018328;-0.00181314;-0.01570357;-1.48396611;0.00010725;-0.00059684;0.00039768 
0.24849653;35.31867981;-0.00184357;-0.01587211;-1.48392844;0.00001495;0.00023795;-0.00111304 
0.28499436;35.60367417;-0.00185230;-0.01588595;-1.48388016;-0.00067241;-0.00002107;0.00241183 
0.21502876;35.81870294;-0.00179292;-0.01579655;-1.48393476;-0.00141057;-0.00083740;-0.00173455 
0.24958515;36.06828809;-0.00171564;-0.01561389;-1.48390234;-0.00017975;0.00112932;0.00126487 
0.25356174;36.32184982;-0.00183681;-0.01551906;-1.48382258;-0.00021975;-0.00044512;0.00057839 
0.24647355;36.56832337;-0.00189987;-0.01558491;-1.48373663;0.00083396;0.00079436;0.00257761 
0.25503469;36.82335806;-0.00184850;-0.01546537;-1.48365259;-0.00074486;-0.00006787;0.00012978 
0.24881887;37.07217693;-0.00172949;-0.01527997;-1.48381114;-0.00003561;-0.00048164;-0.00031349 
0.24605203;37.31822896;-0.00168142;-0.01510910;-1.48370337;0.00050908;-0.00000276;0.00208453 
0.25337601;37.57160497;-0.00166427;-0.01509976;-1.48373258;-0.00060742;-0.00074201;0.00045972 
0.24661016;37.81821513;-0.00169082;-0.01519589;-1.48369098;0.00024884;0.00022600;0.00202385 
0.25001073;38.06822586;-0.00171557;-0.01499410;-1.48369122;-0.00015253;-0.00005283;0.00113434 
0.24998951;38.31821537;-0.00165302;-0.01498856;-1.48361838;-0.00074462;-0.00071722;0.00036317 
0.26395178;38.58216715;-0.00164819;-0.01509853;-1.48365557;-0.00030861;-0.00066774;0.00076273 
0.23290086;38.81506801;-0.00171580;-0.01507060;-1.48354852;-0.00086007;-0.00082963;0.00203775 
0.26833487;39.08340287;-0.00178191;-0.01499268;-1.48342717;-0.00031279;-0.00101340;0.00172769 
0.23975801;39.32316089;-0.00181490;-0.01496887;-1.48345828;0.00029909;-0.00020500;-0.00122683 
0.26617694;39.58933783;-0.00196921;-0.01498014;-1.48350716;-0.00031277;-0.00007583;0.00019504 
0.24393034;39.83326817;-0.00198797;-0.01494645;-1.48341703;-0.00036559;-0.00008577;-0.00033251 
0.23482776;40.06809592;-0.00205874;-0.01499010;-1.48339653;-0.00037226;-0.00075559;0.00103819 
0.25508881;40.32318473;-0.00207998;-0.01515381;-1.48341167;0.00077958;-0.00031530;-0.00026376 
0.24531794;40.56850266;-0.00196443;-0.01529512;-1.48339629;-0.00062914;-0.00000796;0.00104575 
0.25334930;40.82185197;-0.00196822;-0.01540266;-1.48343349;-0.00028387;-0.00041555;-0.00100810 
0.24661112;41.06846309;-0.00220067;-0.01537148;-1.48341990;-0.00070025;0.00070947;0.00114380 
0.24993443;41.31839752;-0.00225485;-0.01544786;-1.48332787;-0.00014569;-0.00027109;0.00121644 
0.26511216;41.58350968;-0.00225534;-0.01542524;-1.48321152;0.00045796;-0.00112924;0.00294471 
0.24489498;41.82840466;-0.00231695;-0.01556765;-1.48320127;0.00048299;0.00007719;-0.00174509 
0.24988198;42.07828665;-0.00219370;-0.01545455;-1.48319876;0.00112433;-0.00039489;0.00139806 
0.24355030;42.32183695;-0.00200240;-0.01560142;-1.48305500;-0.00024098;-0.00058319;0.00202400 
0.26129317;42.58313012;-0.00197262;-0.01581947;-1.48295331;0.00007183;-0.00122549;0.00396567 
